*        	 a        	 b        	 T0     
=        	 T0       	 NULL     	 b      
<=       	 b        	 c        	 T1     
not      	 T1       	 NULL     	 T2     
if       	 T2       	 NULL     	 L1     
=        	 10       	 NULL     	 a      
Label    	 NULL     	 NULL     	 L1     
>        	 a        	 b        	 T3     
not      	 T3       	 NULL     	 T4     
if       	 T4       	 NULL     	 L2     
+        	 a        	 1        	 T5     
=        	 T5       	 NULL     	 a      
goto     	 NULL     	 NULL     	 L1     
Label    	 NULL     	 NULL     	 L2     
goto     	 NULL     	 NULL     	 L4     
Label    	 NULL     	 NULL     	 L1     
=        	 20       	 NULL     	 a      
Label    	 NULL     	 NULL     	 L4     
=        	 100      	 NULL     	 a      
